incident_id,datetime,longitude,latitude
087704,25/4/2018 07:00 AM,-96.808494,32.719791
087743,3/5/2019 11:30 AM,-96.770142,32.847048
088089,20/4/2017 08:43 AM,-96.88984,32.903823
088452,4/5/2019 03:00 AM,-96.796219,32.812985
088538,14/4/2016 03:15 PM,-96.79544,32.707404
089664,20/4/2015 06:30 PM,-96.787786,32.803271
089808,22/4/2015 02:00 PM,-96.858559,32.778772
090315,22/4/2015 09:30 PM,-96.786106,32.794459
091735,24/4/2017 06:00 PM,-96.717603,32.918105
092764,25/4/2015 11:18 PM,-96.820923,32.793181
093094,19/4/2016 04:20 PM,-96.828318,32.748965
093391,26/4/2015 03:46 PM,-96.823692,32.636685
093660,3/5/2018 06:25 PM,-96.754349,32.757185
093820,20/4/2016 01:15 PM,-96.876841,32.786865
094475,20/4/2016 09:00 PM,-96.650657,32.739052
094545,28/4/2015 12:35 AM,-96.744804,32.796267
094696,21/4/2016 01:30 PM,-96.793592,32.778607
095247,5/5/2018 06:30 PM,-96.804456,32.777167
096429,7/5/2018 06:05 AM,-96.803463,32.739141
097447,7/5/2018 11:15 PM,-96.757822,32.774628
097447,7/5/2018 11:15 PM,-96.757822,32.774628
097786,2/5/2017 08:31 AM,-96.795681,32.781377
098165,9/5/2018 09:25 AM,-96.7136,32.801974
098788,3/5/2015 02:00 AM,-96.764,32.796937
099246,3/4/2015 08:00 AM,-96.78081,32.790567
099417,2/5/2017 08:00 PM,-96.79779,32.793905
100408,12/5/2018 12:20 AM,-96.795743,32.777579
100459,5/5/2015 12:35 AM,-96.893365,32.864552
101069,5/5/2015 03:00 AM,-96.868303,32.871944
101117,6/5/2017 05:02 AM,-96.690742,32.816267
101165,12/5/2018 10:31 PM,-96.691852,32.748834
102434,30/4/2016 05:00 AM,-96.834531,32.793134
102928,30/4/2016 07:30 PM,-96.814162,32.754977
103791,1/5/2016 08:08 PM,-96.85722,33.002604
104959,10/5/2015 04:28 AM,-96.786319,32.962134
105368,18/5/2018 04:15 AM,-96.896873,32.881135
105455,11/5/2017 10:30 AM,-96.823153,32.813801
105653,3/5/2016 10:13 PM,-96.806842,32.779834
106183,4/5/2016 02:35 PM,-96.809341,32.820531
106198,11/5/2015 06:06 PM,-96.807085,32.682307
106316,2/5/2016 07:00 PM,-96.796673,32.804422
106597,12/5/2015 12:00 AM,-96.800539,32.78035
106614,10/5/2015 05:50 AM,-96.763574,32.883139
107541,6/5/2016 02:36 AM,-96.808868,32.811044
108026,21/5/2018 09:40 AM,-96.808763,32.674893
108392,13/5/2015 12:00 PM,-96.901748,32.774076
108451,14/5/2015 12:00 PM,-96.763713,32.872606
108573,15/5/2017 02:48 AM,-96.750266,32.90833
109162,6/5/2015 09:30 AM,-96.739904,32.878832
109408,15/5/2015 10:00 AM,-96.833007,32.743209
110102,15/5/2015 08:00 PM,-96.870883,32.785908
110733,17/5/2017 03:40 PM,-96.727715,32.81352
114805,14/5/2016 02:45 AM,-96.715782,32.776466
114931,22/5/2017 12:00 PM,-96.805602,32.781673
114939,13/5/2016 10:00 PM,-96.747641,32.913565
115542,22/5/2015 03:30 PM,-96.944541,32.666463
115700,22/5/2015 08:48 PM,-96.700091,32.713077
116098,23/5/2015 08:20 AM,-96.873709,32.740164
116267,24/5/2017 12:30 AM,-96.802588,32.804141
116527,16/5/2016 02:25 AM,-96.782487,32.784868
116612,16/5/2016 06:00 AM,-96.688623,32.833779
116733,23/5/2015 07:50 PM,-96.895452,32.763549
116932,14/5/2016 10:30 PM,-96.771645,32.843129
117080,16/5/2016 05:04 PM,-96.686394,32.871942
117754,25/5/2015 12:00 AM,-96.802396,32.794254
117826,17/5/2016 01:07 PM,-96.826681,32.743097
118393,18/5/2016 04:30 AM,-96.652727,32.76223
118641,18/5/2016 11:02 AM,-96.72826,32.895897
120029,24/5/2015 12:00 PM,-96.866352,32.749932
120927,29/5/2017 01:11 PM,-96.661158,32.704211
121241,29/5/2015 02:56 AM,-96.772077,32.922176
121460,29/5/2015 01:00 AM,-96.655307,32.740009
122175,22/5/2016 01:16 AM,-96.884691,32.812484
122793,30/5/2015 12:55 PM,-96.904341,32.769882
123654,21/5/2016 07:00 PM,-96.814521,32.710272
123827,24/5/2016 03:18 AM,-96.79021,32.789957
123995,30/5/2015 08:00 PM,-96.886895,32.89903
124501,23/5/2016 04:30 PM,-96.842057,32.821024
125289,25/5/2016 04:48 PM,-96.770954,32.836608
126216,26/5/2016 05:13 PM,-96.808627,32.864387
127016,12/6/2018 05:00 PM,-96.73157,32.849906
127156,12/6/2018 08:22 PM,-96.856457,32.779065
127322,27/5/2016 07:02 PM,-96.82206,32.675316
128953,7/6/2017 11:15 PM,-96.75182,32.935786
129228,29/5/2016 08:30 PM,-96.908052,32.752643
129241,29/5/2016 08:40 PM,-96.754134,32.775075
130557,30/5/2016 10:00 PM,-96.743318,32.772811
130801,10/6/2017 12:00 AM,-96.661533,32.7135
130887,9/6/2015 01:10 AM,-96.870957,32.711356
131331,7/6/2015 12:00 PM,-96.779704,32.707802
131681,17/6/2018 06:00 PM,-96.796159,32.779092
131935,1/6/2016 05:55 PM,-96.739562,32.792141
131992,18/6/2018 04:14 PM,-96.748095,32.917743
132139,1/6/2014 01:45 AM,-96.763113,32.868931
132173,1/6/2014 01:17 AM,-96.828465,32.78151
132371,10/6/2015 07:00 PM,-96.758869,32.767147
132493,11/6/2017 08:00 PM,-96.7199,32.783231
132641,11/6/2015 12:30 AM,-96.758358,32.739181
132795,1/6/2014 05:00 PM,-96.773261,32.920923
133524,3/6/2016 01:00 PM,-96.761904,32.767683
133666,1/6/2014 10:30 PM,-96.601555,32.676281
134316,12/6/2015 07:20 PM,-96.721818,32.90945
134401,12/6/2015 08:00 PM,-96.925671,32.701888
134568,21/6/2018 05:47 PM,-96.754369,32.933724
134665,4/6/2014 12:40 AM,-96.872927,32.858611
135516,5/6/2014 12:45 AM,-96.815153,32.806711
135825,5/6/2016 12:01 AM,-96.788319,32.66308
135857,5/6/2016 08:50 PM,-96.770179,32.807071
136335,5/6/2014 11:00 PM,-96.671431,32.74778
136347,2/6/2015 05:55 PM,-96.890093,32.892159
137410,7/6/2014 01:00 AM,-96.842933,32.647702
137559,17/6/2017 09:16 PM,-96.820937,32.959469
138074,17/6/2015 05:16 PM,-96.820337,32.809301
138546,25/6/2018 05:00 PM,-96.828756,33.009289
138552,8/6/2016 05:30 PM,-96.870066,32.754681
138758,17/6/2017 07:30 PM,-96.808213,32.942129
138867,23/6/2018 05:00 PM,-96.68482,32.736534
139395,8/6/2016 06:00 PM,-96.770719,32.788578
139930,10/6/2014 10:20 AM,-96.768995,32.926229
140015,9/6/2016 10:00 PM,-96.687389,32.876608
140032,10/6/2016 06:45 AM,-96.700292,32.890778
140177,21/6/2017 01:57 AM,-96.74177,32.855909
140200,10/6/2014 12:00 AM,-96.853429,32.787075
140568,28/6/2018 05:00 PM,-96.769657,32.695664
140616,20/6/2015 12:00 AM,-96.826003,33.007271
141283,29/6/2018 04:00 PM,-96.803969,32.7785
141338,11/6/2016 04:00 PM,-96.683605,32.808791
141626,5/6/2014 02:00 PM,-96.660656,32.754887
141797,10/6/2014 11:00 PM,-96.523838,32.880465
142293,13/6/2014 12:00 AM,-96.715749,32.921985
142617,13/6/2014 11:35 AM,-96.889935,32.662019
142943,21/6/2015 07:00 PM,-96.849914,33.004929
142965,22/6/2015 06:00 PM,-96.684414,32.752491
143071,22/6/2015 08:00 PM,-96.687742,32.784055
143364,22/6/2015 12:00 PM,-96.856739,32.762388
143367,2/7/2018 12:43 AM,-96.859163,32.73395
143898,14/6/2014 07:22 PM,-96.708463,32.877292
144401,25/6/2017 05:00 PM,-96.814149,32.75252
145577,26/6/2015 03:00 AM,-96.798174,32.735325
146194,26/6/2015 07:00 PM,-96.806999,32.814691
147185,17/6/2016 09:00 PM,-96.77833,32.803302
147468,6/7/2018 09:00 PM,-96.793979,32.780995
147635,7/7/2018 01:36 AM,-96.83502,32.790883
147784,14/6/2014 05:00 PM,-96.761066,32.799284
147835,18/6/2016 11:15 PM,-96.655885,32.70252
148416,26/6/2015 10:47 PM,-96.794717,32.784474
148424,20/6/2014 01:18 AM,-96.592318,32.674869
148538,8/7/2018 05:43 AM,-96.766814,32.674964
148615,29/6/2015 03:20 PM,-96.805771,32.806756
148631,8/7/2018 09:00 AM,-96.829798,32.818655
149160,1/7/2017 04:04 PM,-96.832985,32.711395
149415,1/7/2017 07:20 PM,-96.768207,32.982831
149917,9/7/2018 07:41 PM,-96.775118,32.898831
150121,21/6/2016 09:30 AM,-96.879573,32.855094
150302,10/7/2018 10:02 AM,-96.87459,32.895207
150350,22/6/2014 03:00 AM,-96.69329,32.711588
150361,22/6/2014 07:43 AM,-96.681134,32.705128
150978,21/6/2016 07:00 PM,-96.783798,32.710786
151110,11/7/2018 10:30 AM,-96.646002,32.749755
151113,1/7/2015 07:40 PM,-96.856159,32.720199
151220,6/7/2018 12:00 PM,-96.875295,32.825078
151366,21/6/2014 06:45 AM,-96.792529,33.009195
151382,11/7/2018 04:15 PM,-96.968238,32.674469
151479,23/6/2014 03:00 PM,-96.944597,32.632649
151548,2/7/2015 10:00 PM,-96.794899,32.799872
151649,11/7/2018 10:00 PM,-96.849347,32.755231
151783,23/6/2016 01:30 AM,-96.650153,32.742431
152293,24/6/2014 08:30 AM,-96.779041,32.797136
152364,12/7/2018 04:00 PM,-96.666379,32.845441
152487,3/7/2015 09:56 PM,-96.762868,32.870023
152799,3/7/2015 09:00 PM,-96.657089,32.704997
153542,25/6/2014 10:00 PM,-96.747287,32.7572
153791,5/7/2015 01:40 PM,-96.86436,32.86125
153961,14/7/2018 04:39 PM,-96.802215,32.983111
154250,14/7/2018 10:00 PM,-96.848048,32.730926
154298,15/7/2018 12:20 AM,-96.816284,32.72506
154427,15/7/2018 04:21 AM,-96.803021,32.775343
154503,15/7/2018 03:00 AM,-96.654833,32.728927
154506,26/6/2014 05:30 PM,-96.795959,32.808626
154682,15/7/2018 01:00 PM,-96.792381,32.950221
154776,26/6/2016 01:00 AM,-96.709637,32.768508
154859,6/7/2015 12:00 PM,-96.831165,32.650051
155259,28/6/2014 03:40 AM,-96.910123,32.748762
155490,7/7/2015 11:15 AM,-96.822588,32.94493
155734,16/7/2018 07:15 PM,-96.683993,32.778034
155861,16/7/2018 10:20 PM,-96.799217,32.772703
155982,27/6/2016 05:36 PM,-96.711629,32.796273
156474,29/6/2014 04:20 PM,-96.82022,32.775464
156523,14/7/2018 06:00 PM,-96.786225,32.785512
156906,18/7/2018 05:58 AM,-96.873581,32.90963
156963,18/7/2018 08:50 AM,-96.808767,32.677378
157109,16/7/2018 12:00 PM,-96.791805,32.802827
157449,8/7/2015 11:00 PM,-96.755059,32.765321
157778,12/7/2017 12:39 AM,-96.741406,32.771282
157894,19/7/2018 11:56 AM,-96.880601,32.675186
158223,10/7/2015 06:30 PM,-96.833007,32.743209
158398,20/7/2018 12:05 AM,-96.873721,32.810372
159022,7/7/2015 08:15 PM,-96.810745,32.788253
159342,21/7/2018 01:20 AM,-96.799434,32.781403
159384,21/7/2018 03:00 AM,-96.876755,32.893592
159694,21/7/2018 12:46 PM,-96.898611,32.890909
159772,21/7/2018 03:00 PM,-96.889112,32.660928
160214,3/7/2014 10:00 PM,-96.907648,32.866601
160663,4/7/2014 01:00 PM,-96.682828,32.739463
160788,22/7/2018 09:16 PM,-96.818853,32.939563
161349,23/7/2018 01:50 PM,-96.856524,32.772024
161480,23/7/2018 04:00 PM,-96.81928,32.788848
161574,5/7/2014 01:22 PM,-96.698376,32.79226
161617,23/6/2014 04:50 PM,-96.788295,32.653007
161676,23/7/2018 10:00 PM,-96.761518,32.781516
161829,24/7/2018 04:52 AM,-96.873132,32.911073
161929,3/7/2016 09:00 PM,-96.823686,32.800724
162158,13/7/2015 10:05 AM,-96.771549,32.78438
162676,5/7/2016 01:00 AM,-96.885497,32.721736
162868,25/7/2018 11:48 AM,-96.85682,32.739353
162922,25/7/2018 01:00 PM,-96.842061,32.705753
163031,25/7/2018 04:55 PM,-96.857095,32.721517
163151,16/7/2015 03:28 PM,-96.874036,32.748773
163214,14/7/2015 12:00 PM,-96.812608,32.802701
